Kunstner,Verk,Kommentar,URL,URL2
"Jakob Weidemann","Storfuglen letter","1959. Olje på lerret,150 x 200 cm. Bildet tilhører Sonja Henies og Niels Onstads Stiftelser.",https://morgenbladet.no/sites/default/files/styles/large/public/01_-_storfuglen_letter_jakob_weidemann.jpg?itok=euUOvzoc,https://morgenbladet.no/sites/default/files/styles/large/public/01_-_storfuglen_letter_jakob_weidemann.jpg?itok=euUOvzoc
"Inger Sitter","In the picture","Akryl,olje på lerret 97 X 130 cm. Tilhører Nasjonalmuseet for Kunst.",https://morgenbladet.no/sites/default/files/styles/large/public/02_-_in_the_picture_inger_sitter.jpg?itok=JeJeuOqQ,https://morgenbladet.no/sites/default/files/styles/large/public/02_-_in_the_picture_inger_sitter.jpg?itok=JeJeuOqQ
Kjartan Slettemark,Av rapport fra Vietnam. Barn overskylles av brennende napalm. Deres hud brennes til svarte sår og de dør,"1965,102 x 102 cm. Assemblage og olje på lerret. Tilhører Nasjonalmuseet for kunst.",https://morgenbladet.no/sites/default/files/styles/large/public/03_-_av_rapport_fra_vietnam._barn_overskylles_av_brennende_napalm._deres_hud_brennes_til_svarte_sar_og_de_dor_kjartan_slettemark.jpg?itok=CJx75diB,https://morgenbladet.no/sites/default/files/styles/large/public/slettemark_blur.jpg?itok=gca435UJ
Per Kleiva,Tre blad frå imperialismens dagbok,"1971. Silketrykk (fargeserigrafi). Hvert trykk måler 597 x 597 mm.",https://morgenbladet.no/sites/default/files/styles/large/public/04_-_tre_blad_fra_imperialismens_dagbok_per_kleiva.jpg?itok=QNIFbZpG,https://morgenbladet.no/sites/default/files/styles/large/public/04_-_tre_blad_fra_imperialismens_dagbok_per_kleiva.jpg?itok=QNIFbZpG
Marianne Heske,Gjerdeløa,"1980. Fra Tafjord (øverst) til Pompidousenteret i Paris og tilbake igjen",https://morgenbladet.no/sites/default/files/styles/large/public/05_-_gjerdeloa_marianne_heske.jpg?itok=1xqL2NtJ,https://morgenbladet.no/sites/default/files/styles/large/public/05_-_gjerdeloa_marianne_heske.jpg?itok=1xqL2NtJ
Per Inge Bjørlo,Indre rom I. Gummirommet,1980,https://morgenbladet.no/sites/default/files/styles/large/public/06_-_indre_rom_i._gummirommet_per_inge_bjorlo.jpg?itok=llgrfr8W,https://morgenbladet.no/sites/default/files/styles/large/public/06_-_indre_rom_i._gummirommet_per_inge_bjorlo.jpg?itok=llgrfr8W
Tom Sandberg,Portrett av andreij nebb,"Portrettserie 1980. Hvert bilde 110 x 170.",https://morgenbladet.no/sites/default/files/styles/large/public/08_-_portrett_av_andreij_nebb_tom_sandberg.jpg?itok=TtevuTMw,https://morgenbladet.no/sites/default/files/styles/large/public/08_-_portrett_av_andreij_nebb_tom_sandberg.jpg?itok=TtevuTMw
Odd Nerdrum,Skyen,"1985,123 X 138,5 cm",https://morgenbladet.no/sites/default/files/styles/large/public/09_-_skyen_odd_nerdrum.jpg?itok=ZOhLGhxg,https://morgenbladet.no/sites/default/files/styles/large/public/09_-_skyen_odd_nerdrum.jpg?itok=ZOhLGhxg
Olav Christopher Jenssen,Lack of memory,"Her ved «Vanish»,«Timid»,«Jig» og «Penetrate». Olje (enkelte ganger akryl) på lerret. Utlånt av Galleri Riis.",https://morgenbladet.no/sites/default/files/styles/large/public/10_-_lack_of_memory_olav_christopher_jenssen._her_ved_vanish_timid_jig_og_penetrate.jpg?itok=8VcAjIk5,https://morgenbladet.no/sites/default/files/styles/large/public/10_-_lack_of_memory_olav_christopher_jenssen._her_ved_vanish_timid_jig_og_penetrate.jpg?itok=8VcAjIk5
Vibeke Tandberg,Living together,"1996. Serie på 27 verk,her 06,09,12,02. Utlånt fra Astrup Fearnley Museets samling.",https://morgenbladet.no/sites/default/files/styles/large/public/11_-_living_together_vibeke_tandberg.jpg?itok=JNIsHPKz,https://morgenbladet.no/sites/default/files/styles/large/public/11_-_living_together_vibeke_tandberg.jpg?itok=JNIsHPKz
Bjarne Melgaard,Confessions of a recovering minimalist,"1996,Galleri c/o.",https://morgenbladet.no/sites/default/files/styles/large/public/12_-_confessions_of_a_recovering_minimalist_bjarne_melgaard.jpg?itok=6BPyQkSp,https://morgenbladet.no/sites/default/files/styles/large/public/12_-_confessions_of_a_recovering_minimalist_bjarne_melgaard.jpg?itok=6BPyQkSp
Leonard Rickhard,Trett modellflybygger,"1985. Pakkes her ut. Foto: Thomas Brun",https://morgenbladet.no/sites/default/files/styles/large/public/hoved.jpg?itok=mGu5499r,https://morgenbladet.no/sites/default/files/styles/large/public/hoved.jpg?itok=mGu5499r
